type,count,consolidated-type,,,,,
"Accommodation - Guest Houses, etc.",2,Hotels/Accommodations,,,,,
Archives,1,Services,,,,,
Attorney's,1,Services,,,,,
Attorneys,3,Services,,,,,
Bar,24,Bars/Clubs,,,,,
Bar / Restaurants,4,Bars/Restaurants ,,,,,
Bar/Restaurant,6,Bars/Restaurants ,,,,,
Bar/Restuarant,6,Bars/Restaurants ,,,,,
Bars,129,Bars/Clubs,,,,,
Bars/Clubs,437,Bars/Clubs,,,,,
"Bars/Clubs,Bathhouses",1,Bars/Clubs,,,,,
"Bars/Clubs,Cruising Areas",34,Bars/Clubs,,,,,
"Bars/Clubs,Cruising Areas,Restaurant",1,Bars/Restaurants ,,,,,
"Bars/Clubs,Hotel",4,Bars/Clubs,,,,,
"Bars/Clubs,Restaurant",11,Bars/Restaurants ,,,,,
"Bars/Clubs,Restaurant,Cruising Areas",1,Bars/Restaurants ,,,,,
Bars/Restaurants,5,Bars/Restaurants ,,,,,
Bathhouses,34,Bathhouses,,,,,
"Bathhouses,Erotic Shop",3,Bathhouses,,,,,
"Bathhouses,Gym",3,Bathhouses,,,,,
"Bathhouses,Hotel",2,Bathhouses,,,,,
Baths,22,Bathhouses,,,,,
"Baths,Hotel",3,Bathhouses,,,,,
Book Store,83,Bookstores,E&A need to parse,,,,
"Book Store,Cruising Areas",3,Erotic Shops,,,,,
"Book Store,Cruising Areas,Erotic Shop",2,Erotic Shops,,,,,
"Book Store,Erotic Shop",4,Erotic Shops,,,,,
Bookstore,1,Bookstores,,,,,
Bookstores,8,Bookstores,,,,,
Business,31,Shops,E&A need to parse,,,,
"Business,Book Store",1,Shops,,,,,
Centers,3,Organizations,,,,,
Church,9,Religious Institutions,,,,,
Clinic,1,Health Centers,,,,,
Cruising Areas,159,Cruising Areas,,,,,
"Cruising Areas,Bars/Clubs",3,Bars/Clubs,,,,,
"Cruising Areas,Book Store",5,Erotic Shops,,,,,
"Cruising Areas,Restaurant",1,Bars/Restaurants ,,,,,
"Cruising Areas,Theatre",5,Porn Cinemas,,,,,
Erotic Shop,7,Erotic Shops,,,,,
Escort and Model Services,1,Services,,,,,
Feminist Bookstore,7,Bookstores,,,,,
Feminist Coffeehouse,2,Restaurants/Cafes,,,,,
Gay / Lesbian Bookstore,1,Bookstores,,,,,
Gay Hotline,1,Hotlines/Switchboards,,,,,
Gay/Lesbian Bookstore,1,Bookstores,,,,,
Gay/Lesbian Center,1,Organizations,,,,,
Goddess Crafts,2,Shops,,,,,
Group,4,Organizations,,,,,
Groups,1,Organizations,,,,,
Gym,6,Gyms,,,,,
Headshop,1,Shops,,,,,
Health Centers / Clinics / Counseling / Practitioners,3,Health Centers,,,,,
Health Centers/Clinics/Counselling,3,Health Centers,,,,,
Health Clinic,1,Health Centers,,,,,
Hotel,10,Hotels/Accommodations,,,,,
"Hotel,Bathhouses",3,Bathhouses,,,,,
Hotline,9,Hotlines/Switchboards,,,,,
Hotlines,4,Hotlines/Switchboards,,,,,
Information and Emergency Services,3,Hotlines/Switchboards,,,,,
Information Services,3,Hotlines/Switchboards,,,,,
Lesbian / Gay Bookstore,2,Bookstores,,,,,
Lesbian / Gay Community Center,1,Organizations,,,,,
Lesbian Service Organization,1,Organizations,,,,,
Lesbian/Gay Service Center,1,Organizations,,,,,
Motel,1,Hotels/Accommodations,,,,,
Organisation and Services,2,Organizations,,,,,
Organization,12,Organizations,,,,,
Organization and Service,4,Organizations,E&A need to parse,,STILL NEED TO DO,,---
Organizations,4,Organizations,,,,,
Organizations and Groups - Including Special Interests,2,Organizations,,,,,
Outdoor Group,1,Organizations,,,,,
Personal Contacts/Travel Clubs,1,Services,,,,,
Political Group,2,Organizations,,,,,
Publication,17,Publications/Media,,,,,
Publications,9,Publications/Media,,,,,
Radio and Television,1,Publications/Media,,,,,
Religious Group,3,Religious Institutions,,,,,
Religious Groups,13,Religious Institutions,,,,,
Religious Institution,24,Religious Institutions,,,,,
Restaurant,157,Restaurants/Cafes,,,,,
"Restaurant,Bars/Clubs",19,Bars/Restaurants ,,,,,
"Restaurant,Bars/Clubs,Cruising Areas",1,Bars/Restaurants ,,,,,
"Restaurant,Cruising Areas",6,Restaurants/Cafes,,,,,
Restaurants,38,Restaurants/Cafes,,,,,
Service,5,Hotlines/Switchboards,E&A need to parse,,,,
Services,13,Hotlines/Switchboards,E&A need to parse,,,,
Shop,1,Shops,,,,,
Show Bar,2,Bars/Clubs,,,,,
Show Bars,1,Bars/Clubs,,,,,
Show-Bar,1,Bars/Clubs,,,,,
Show-Bars,1,Bars/Clubs,,,,,
Showbar,2,Bars/Clubs,,,,,
Store,1,Shops,,,,,
Taxi Cabs,3,Services,,,,,
Theater and Music Events,2,Theater and Music Events,,,,,
Theatre,26,Porn Cinemas,,,,,
Travel Agency,4,Services,,,,,
Travel Agents,1,Services,,,,,
Wilderness Trips,1,Services,,,,,
Women's Art Gallery,1,Shops,,,,,