"city","state","country"
"Liverpool","NY","United States"
"Livingston","NJ","United States"
"Logan","UT","United States"
"Lombard","IL","United States"
"Long Beach","CA","United States"
"Long Beach","NJ","United States"
"Long Branch","NJ","United States"
"Long Island","NY","United States"
"Long Wharf","CT","United States"
"Longview","TX","United States"
"Longview","WA","United States"
"Lorain","OH","United States"
"Lordsburg","NM","United States"
"Los Altos","CA","United States"
"Los Angeles","CA","United States"
"Los Gatos","CA","United States"
"Louisville","KT","United States"
"Louisville","KY","United States"
"Lowell","MA","United States"
"Lubbock","TX","United States"
"Lynn","MA","United States"
"Lynwood","CA","United States"
"Lyons","KS","United States"
"Macomb","IL","United States"
"Macon","GA","United States"
"Madeira Beach","FL","United States"
"Madison","IN","United States"
"Madison","WI","United States"
"Magset","ME","United States"
"Mahwah","NJ","United States"
"Makena","HI","United States"
"Manassas","VA","United States"
"Manchester","CT","United States"
"Manchester","NH","United States"
"Manfield","OH","United States"
"Manhattan","KS","United States"
"Manhattan","NY","United States"
"Manhattan Beach","CA","United States"
"Manitou Springs","CO","United States"
"Manitowac","WI","United States"
"Mankato","MN","United States"
"Mansfield","OH","United States"
"Maple Hill","KS","United States"
"Marblehead","OH","United States"
"March's Hook","OR","United States"
"Marcus Hook","PA","United States"
"Marietta","PA","United States"
"Marin County","CA","United States"
"Marion","IL","United States"
"Marion","OH","United States"
"Marquette","MI","United States"
"Marrietta","PA","United States"
"Marshall","TX","United States"
"Marshalltown","IA","United States"
"Marshfield-Pembroke","MA","United States"
"Martha's Vineyard","MA","United States"
"Martha's Vineyard Island","MA","United States"
"Marysville","CA","United States"
"Mason City","IA","United States"
"Matthews","CA","United States"
"Maui Island","HI","United States"
"Mayaguez","PR","United States"
"McAllen","TX","United States"
"Medeira Beach","FL","United States"
"Medford","MA","United States"
"Medford","OR","United States"
"Melbourne","FL","United States"
"Melrose Park","IL","United States"
"Memphis","TN","United States"
"Mendocino","CA","United States"
"Meriden","CT","United States"
"Meridian","MS","United States"
"Mesa","AZ","United States"
"Metairie","LA","United States"
"Miami","FL","United States"
"Miami Beach","FL","United States"
"Miamisburg","OH","United States"
"Michigan City","IN","United States"
"Middlebury","VT","United States"
"Middletown","CT","United States"
"Midway City","CA","United States"
"Milford","MA","United States"
"Mill Valley","CA","United States"
"Milldale","CT","United States"
"Milton","MA","United States"
"Milwaukee","WI","United States"
"Mine Hill","NJ","United States"
"Mineola","NY","United States"
"Minneapolis","MN","United States"
"Minot","NC","United States"
"Minot","ND","United States"
"Miracle Mile","CA","United States"
"Miramar","PR","United States"
"Mission Viejo","CA","United States"
"Mississippi","MS","United States"
"Missoula","MT","United States"
"Mobile","AL","United States"
"Modesto","CA","United States"
"Monmouth","IL","United States"
"Monroe","LA","United States"
"Monroe","NY","United States"
"Monrovia","CA","United States"
"Montara","CA","United States"
"Montclair","CA","United States"
"Montclaire","PA","United States"
"Monte Rio","CA","United States"
"Monterey","CA","United States"
"Montgomery","AL","United States"
"Montgomery","MD","United States"
"Montpelier","VT","United States"
"Moorhead","MN","United States"
"Morgan City","LA","United States"
"Morgantown","WV","United States"
"Morris County","NJ","United States"
"Morristown","NJ","United States"
"Morro Bay","CA","United States"
"Morton","MS","United States"
"Moscow","ID","United States"
"Mount Clemens","MI","United States"
"Mount Vernon","TX","United States"
"Mountain View","CA","United States"
"Mt Clemens","MI","United States"
"Mt. Clemens","MI","United States"
"Mt. Pleasant","MI","United States"
"Mt. Vernon","IL","United States"
"Mt. Vernon","WA","United States"
"Mt. Washington","CA","United States"
"Muncie","IN","United States"
"Murpheesboro","TN","United States"
"Muskegon","MI","United States"
"Myrtle Beach","SC","United States"
"Myrtle Creek","OR","United States"
"Nacogdoches","TX","United States"
"Nantucket","MA","United States"
"Nanuet","NY","United States"
"Napa","CA","United States"
"Naples","FL","United States"
"Nashua","NH","United States"
"Nashville","TN","United States"
"Nawiliwili","HI","United States"
"Nazareth","OR","United States"
"Neptune Beach","FL","United States"
"Nescopeck","PA","United States"
"Nevada City","CA","United States"
"New Bedford","CT","United States"
"New Bedford","MA","United States"
"New Britain","CT","United States"
"New Brunswick","NJ","United States"
"New City","NY","United States"
"New Haven","CT","United States"
"New Hope","OR","United States"
"New Hope","PA","United States"
"New Lebanon","IN","United States"
"New London","CT","United States"
"New Milford","CT","United States"
"New Milford","PA","United States"
"New Monterey","CA","United States"
"New Orleans","LA","United States"
"New Paltz","NY","United States"
"New Rochelle","NY","United States"
"New Town","IL","United States"
"New York","NY","United States"
"New York City","NY","United States"
"Newark","DE","United States"
"Newark","NJ","United States"
"Newport","KY","United States"
"Newport","OR","United States"
"Newport","RI","United States"
"Newport Beach","CA","United States"
"Newton","NJ","United States"
"Newtown","CT","United States"
"Niagara Falls","NY","United States"
"Niagra Falls","NY","United States"
"Nimitz","WV","United States"
"Norfolk","NE","United States"
"Norfolk","VA","United States"
"Normal","IL","United States"
"Norman","OK","United States"
"North Adams","MA","United States"
"North Beach","MD","United States"
"North Conway","NH","United States"
"North Dartmouth","MA","United States"
"North Hollywood","CA","United States"
"North Hudson","NY","United States"
"North Merrick","NY","United States"
"North Quincy","MA","United States"
"North Salem","NY","United States"
"North Smithfield","RI","United States"
"Northampton","MA","United States"
"Northhampton","MA","United States"
"Northwood","NH","United States"
"Norwalk","CA","United States"
"Norwalk","CT","United States"
"Norwalk","WI","United States"
"Norwich","CT","United States"
"Nyack","NY","United States"
"Oak Bluffs","MA","United States"
"Oak Park","IL","United States"
"Oak Ridge Farm","TN","United States"
"Oakhurst","CA","United States"
"Oakland","CA","United States"
"Oakland","PA","United States"
"Oberlin","OH","United States"
"Ocean Beach","CA","United States"
"Ocean City","MD","United States"
"Ocean Park Beach","CA","United States"
"Oceanside","CA","United States"
"Odessa","TX","United States"
"Ogden","UT","United States"
"Ogunquit","ME","United States"
"Oklahoma City","OK","United States"
"Olathe","KS","United States"
"Old Orchard Beach","ME","United States"
"Old Roslyn Village","NY","United States"
"Old Town","CA","United States"
"Old Westbury","NY","United States"
"Olean","NY","United States"
"Olympia","WA","United States"
"Omaha","NE","United States"
"Oneonta","NY","United States"
"Ontario","CA","United States"
"Opa-Locka","FL","United States"
"Opelika","AL","United States"
"Orange","CA","United States"
"Orange","CT","United States"
"Orange","NJ","United States"
"Orange County","CA","United States"
"Orlando","FL","United States"
"Orono","ME","United States"
"Oroville","CA","United States"
"Oshikosh","WI","United States"
"Oshkosh","WI","United States"
"Oswego","NY","United States"
"Ottawa","IL","United States"
"Overland Park","KS","United States"
"Owens","OH","United States"
"Owensboro","KY","United States"
"Owings Mills","MD","United States"
"Oxford","MS","United States"
"Oxnard","CA","United States"
"Oxon Hill","MD","United States"
"Ozark","AR","United States"
"Pacific Beach","CA","United States"
"Pacific Grove","CA","United States"
"Paducah","KY","United States"
"Paia","HI","United States"
"Painesville","OH","United States"
"Painsville","OH","United States"
"Palisades Park","NJ","United States"
"Palm Springs","CA","United States"
"Palo Alto","CA","United States"
"Panama City","FL","United States"
"Paramount","CA","United States"
"Paramus","NJ","United States"
"Paris","TN","United States"
"Parkersburg","WV","United States"
"Parksburg","WV","United States"
"Parsons","KS","United States"
"Pasadena","CA","United States"
"Pascagoula","MS","United States"
"Pasco","WA","United States"
"Passaic","NJ","United States"
"Patchoque","NY","United States"
"Paterson","NJ","United States"
"Patterson","NJ","United States"
"Pawtucket","RI","United States"
"Peabody","MA","United States"
"Penacook","NH","United States"
"Penn Hills","PA","United States"
"Pensacola","FL","United States"
"Peoria","IL","United States"
"Perth Amboy","NJ","United States"
"Petaluma","CA","United States"
"Petoskey","MI","United States"
"Phenix City","AL","United States"
"Philadelphia","PA","United States"
"Philipsburg","PA","United States"
"Phillipsburg","NJ","United States"
"Phillipsville","CA","United States"
"Phoenix","AZ","United States"
"Phoenixville","PA","United States"
"Piermont","NY","United States"
"Pierre","SD","United States"
"Pine Grove","PA","United States"
"Pine HIll","NY","United States"
"Pinellas Park","FL","United States"
"Piqua","OH","United States"
"Pittsburgh","KS","United States"
"Pittsburgh","OH","United States"
"Pittsburgh","PA","United States"
"Pittsfield","MA","United States"
"Plainfield","NJ","United States"
"Plainsboro","NJ","United States"
"Plainview","TX","United States"
"Plainwell","MI","United States"
"Plantsville","CT","United States"
"Plattsburg","NY","United States"
"Plattsburgh","NY","United States"
"Pleasant Hill","CA","United States"
"Plymouth","MA","United States"
"Plymouth","MI","United States"
"Pocatello","ID","United States"
"Pocono Mts.","PA","United States"
"Point Loma","CA","United States"
"Poipu","HI","United States"
"Pomeroy","WA","United States"
"Pomona","CA","United States"
"Pompano Beach","FL","United States"
"Ponce","PR","United States"
"Pontiac","MI","United States"
"Port Huron","MI","United States"
"Portland","ME","United States"
"Portland","OR","United States"
"Portola Valley","CA","United States"
"Portsmouth","ME","United States"
"Portsmouth","NH","United States"
"Poughkeepsie","NY","United States"
"Pownal","VT","United States"
"Prairie Du Chien","WI","United States"
"Prescott","AZ","United States"
"Presque Isle","ME","United States"
"Princeton","NJ","United States"
"Providence","RI","United States"
"Provincetown","MA","United States"
"Provo","UT","United States"
"Pueblo","CO","United States"
"Pullman","WA","United States"
"Punta Gorda","FL","United States"
"Quartzite","AZ","United States"
"Queens","NY","United States"
"Quincy","IL","United States"
"Racine","WI","United States"
"Raleigh","NC","United States"
"Rancho Cordova","CA","United States"
"Rancho Mirage","CA","United States"
"Randolph","MA","United States"
"Rapid City","SD","United States"
"Rawlins","WY","United States"
"Reading","PA","United States"
"Red Bluff","CA","United States"
"Redding","CA","United States"
"Redlands","CA","United States"
"Redondo Beach","CA","United States"
"Redwood City","CA","United States"
"Reed","KY","United States"
"Reheboth Beach","DE","United States"
"Rehoboth Beach","DE","United States"
"Remer","MN","United States"
"Rendondo Beach","CA","United States"
"Reno","NE","United States"
"Reno","NV","United States"
"Reseda","CA","United States"
"Reston","VA","United States"
"Revere Beach","MA","United States"
"Rialto","CA","United States"
"Richfield","OH","United States"
"Richmond","VA","United States"
"Richmond Hill","NY","United States"
"River Edge","NJ","United States"
"Riverside","CA","United States"
"Roanoke","VA","United States"
"Rochester","MI","United States"
"Rochester","MN","United States"
"Rochester","NY","United States"
"Rochester","PA","United States"
"Rock Island","IL","United States"
"Rock Springs","WY","United States"
"Rockbridge","OH","United States"
"Rockford","IL","United States"
"Rockland","NY","United States"
"Rockland Lake","NY","United States"
"Rockport","ME","United States"
"Rockville","MD","United States"
"Roman","MT","United States"
"Rome","NY","United States"
"Ronan","MT","United States"
"Ronkonkona","NY","United States"
"Roseburg","OR","United States"
"Rosedale","MN","United States"
"Rubdoux","CA","United States"
"Rubidoux","CA","United States"
"Running Springs","CA","United States"
"Russian River","CA","United States"
"Ruston","LA","United States"
"Rutland","VT","United States"
"Sacramento","CA","United States"
"Saginaw","MI","United States"
"Saint Croix","Virgin Islands","United States"
"Saint Marys","OH","United States"
"Salem","MA","United States"
"Salem","OR","United States"
"Salina","KS","United States"
"Salinas","CA","United States"
"Salt Lake City","UT","United States"
"Salute Ste. Marie","MI","United States"
"San Antonio","TX","United States"
"San Bernadino","CA","United States"
"San Bernardino","CA","United States"
"San Clemente","CA","United States"
"San Diego","CA","United States"
"San Francisco","CA","United States"
"San Francsico","CA","United States"
"San Gabrael","CA","United States"
"San Gabriel","CA","United States"
"San Jose","CA","United States"
"San Juan","PR","United States"
"San Juan Pueblo","NM","United States"
"San Luis Obispo","CA","United States"
"San Mateo","CA","United States"
"San Rafael","CA","United States"
"Sandusky","OH","United States"
"Sandy","OR","United States"
"Santa Ana","CA","United States"
"Santa Barbara","CA","United States"
"Santa Clara","CA","United States"
"Santa Cruz","CA","United States"
"Santa Fe","NM","United States"
"Santa Maria","CA","United States"
"Santa Monica","CA","United States"
"Santa Rosa","CA","United States"
"Santurce","PR","United States"
"Saranac Lake","NY","United States"
"Sarasota","FL","United States"
"Saratoga Springs","NY","United States"
"Saugatuck","MI","United States"
"Sault Ste. Marie","MI","United States"
"Sausalito","CA","United States"
"Savannah","GA","United States"
"Savannah Beach","GA","United States"
"Sayerville","NJ","United States"
"Sayreville","NJ","United States"
"Sayville","NY","United States"
"Schenectady","NY","United States"
"Schenley","PA","United States"
"Scottsdale","AZ","United States"
"Scranton","PA","United States"
"Seaford","NY","United States"
"Seaside","OR","United States"
"Seattle","WA","United States"
"Sedona","AZ","United States"
"Seekonk","MA","United States"
"Selden","NY","United States"
"Seldon","NY","United States"
"Shaker Heights","OH","United States"
"Sharon","PA","United States"
"Shawano Lake","WI","United States"
"Sheboygan","WI","United States"
"Sherman Oaks","CA","United States"
"Shreveport","LA","United States"
"Sierra Vista","AZ","United States"
"Silver Springs","MD","United States"
"Silverlake","CA","United States"
"Simpson","MD","United States"
"Sioux City","IA","United States"
"Sioux Falls","SD","United States"
"Smithfield","RI","United States"
"Smithsfield","RI","United States"
"Smithtown","NY","United States"
"Somerville","MA","United States"
"Sonoma","CA","United States"
"Sonora","CA","United States"
"South Amherst","MA","United States"
"South Beach","NY","United States"
"South Bend","IN","United States"
"South Chino","ME","United States"
"South Hadley","MA","United States"
"South Haven","MI","United States"
"South Padre Island","TX","United States"
"South River","NJ","United States"
"Southboro","MA","United States"
"Southfield","MI","United States"
"Southington","CT","United States"
"Spanish Fort Canyon","UT","United States"
"Sparks","NV","United States"
"Spartanburg","SC","United States"
"Spokane","WA","United States"
"Springfield","IL","United States"
"Springfield","MA","United States"
"Springfield","MO","United States"
"Springfield","OH","United States"
"Springfield","VA","United States"
"Springfield","VT","United States"
"Spruce Pine","NC","United States"
"St Augustine's","FL","United States"
"St Louis","MO","United States"
"St Petersburg","FL","United States"
"St Thomas","Virgin Islands","United States"
"St. Augustine","FL","United States"
"St. Claire","OH","United States"
"St. Cloud","MN","United States"
"St. Huntington","NY","United States"
"St. Joseph","MO","United States"
"St. Louis","MO","United States"
"St. Paul","MN","United States"
"St. Petersburg","FL","United States"
"St. Petersburgh","FL","United States"
"St. Simons Island","GA","United States"
"Stamford","CT","United States"
"Stanford","CA","United States"
"Stapleton","NY","United States"
"State College","PA","United States"
"Stateline","NV","United States"
"Staten Island","NY","United States"
"Statewide","CO","United States"
"Steubenville","OH","United States"
"Stickney","IL","United States"
"Stillwater","OK","United States"
"Stockbridge","MA","United States"
"Stockton","CA","United States"
"Stoneham","MA","United States"
"Stonington","ME","United States"
"Storrs","CT","United States"
"Streamwood","IL","United States"
"Stroudsburg","PA","United States"
"Stroundsburg","PA","United States"
"Studio City","CA","United States"
"Suffolk County","NY","United States"
"Sun Valley","ID","United States"
"Sunapee","NH","United States"
"Sunland","CA","United States"
"Sunnyvale","CA","United States"
"Sunset Beach","CA","United States"
"Superior","WI","United States"
"Susquehanna","PA","United States"
"Swansea","MA","United States"
"Sweetwater","TX","United States"
"Sylvan Beach","NY","United States"
"Syosset","NY","United States"
"Syracuse","NY","United States"
"Tacoma","WA","United States"
"Talequah","OK","United States"
"Tallahassee","FL","United States"
"Tampa","FL","United States"
"Tannersville","PA","United States"
"Tarzana","CA","United States"
"Teaneck","NJ","United States"
"Telluride","CO","United States"
"Tempe","AZ","United States"
"Terre Haute","IN","United States"
"Texarcana","AR","United States"
"Texarkana","AR","United States"
"The Bronx","NY","United States"
"The Hamptons","NY","United States"
"Tijuana","CA","United States"
"Titusville","FL","United States"
"Toledo","OH","United States"
"Toltec","AZ","United States"
"Tombstone","AZ","United States"
"Topanga","CA","United States"
"Topeka","KS","United States"
"Torrance","CA","United States"
"Towson","MD","United States"
"Traverse City","MI","United States"
"Trenton","NJ","United States"
"Tri-Cities","WA","United States"
"Troy","MI","United States"
"Troy","NY","United States"
"Truckee","CA","United States"
"Tucson","AZ","United States"
"Tulsa","OK","United States"
"Tumon Bay","GU","United States"
"Tupelo","MS","United States"
"Tupper Lake","NY","United States"
"Tuscalloosa","AL","United States"
"Tuscaloosa","AL","United States"
"Tuscon","AZ","United States"
"Tyler","TX","United States"
"Tynesboro","MA","United States"
"Tyngsboro","MA","United States"
"Tysons Corner","VA","United States"
"Ukiah","CA","United States"
"Union","NJ","United States"
"Union City","NJ","United States"
"Uniondale","NY","United States"
"Upland","CA","United States"
"Upper Darby","PA","United States"
"Urbaba","IL","United States"
"Urbana","IL","United States"
"Utica","NY","United States"
"Uxbridge","MA","United States"
"Vail","AZ","United States"
"Vail","CO","United States"
"Valhalla","NY","United States"
"Vallejo","CA","United States"
"Valley Stream","NY","United States"
"Valparaiso","IN","United States"
"Van Nuys","CA","United States"
"Van Nuys - Sherman Oaks","CA","United States"
"Vancouver","WA","United States"
"Venice","CA","United States"
"Ventura","CA","United States"
"Vero Beach","FL","United States"
"Vicksberg","MS","United States"
"Vicksburg","MS","United States"
"Victoria","TX","United States"
"Villa Park","IL","United States"
"Vincennes","IN","United States"
"Vineyard Haven","MA","United States"
"Virginia Beach","FL","United States"
"Virginia Beach","VA","United States"
"Visalia","CA","United States"
"Waco","TX","United States"
"Waikiki","HI","United States"
"Waikiki Beach","HI","United States"
"Waikiki Beach, Oahu","HI","United States"
"Wailuku","HI","United States"
"Wailuku, Maui","HI","United States"
"Wakarusa","KS","United States"
"Wakefield","MA","United States"
"Waldport","OR","United States"
"Walla Walla","WA","United States"
"Wallington","NJ","United States"
"Walnut Creek","CA","United States"
"Waltham","MA","United States"
"Walton","KS","United States"
"Wantagh","NY","United States"
"Ware","MA","United States"
"Warren","OH","United States"
"Warren","VT","United States"
"Warwick","RI","United States"
"Washington","DC","United States"
"Washington","NJ","United States"
"Washingtonville","NY","United States"
"Waterbury","CT","United States"
"Waterloo","IA","United States"
"Watertown","NY","United States"
"Waterville","ME","United States"
"Waukegan","IL","United States"
"Wausau","WI","United States"
"Wayne","NJ","United States"
"West Babylon","NY","United States"
"West Covina","CA","United States"
"West Hempstead","NY","United States"
"West Lafayette","IN","United States"
"West Lebanon","NH","United States"
"West New York","NJ","United States"
"West Palm Beach","FL","United States"
"West Park","NY","United States"
"Western Michigan University","MI","United States"
"Weston","MA","United States"
"Westport","CT","United States"
"Westtown","NY","United States"
"Weymouth","MA","United States"
"Wheaton","MD","United States"
"Wheeling","WV","United States"
"Whidbey Island","WA","United States"
"White Plains","NY","United States"
"White River Junction","VT","United States"
"White-Plains","NY","United States"
"Whitestone","NY","United States"
"Wichita","KS","United States"
"Wichita Falls","TX","United States"
"Wilcox","AZ","United States"
"Wilkes-Barre","PA","United States"
"Williamsburg","VA","United States"
"Williamsport","PA","United States"
"Williamstown","MA","United States"
"Willimsburg","VA","United States"
"Willits","CA","United States"
"Wilmington","CA","United States"
"Wilmington","DE","United States"
"Wilmington","NC","United States"
"Winchester","VA","United States"
"Winfield","KS","United States"
"Winston-Salem","NC","United States"
"Winter Park","FL","United States"
"Wolf Creek","OR","United States"
"Wood River","IL","United States"
"Woodacre","CA","United States"
"Woodbridge","NJ","United States"
"Woodbury","NY","United States"
"Woodland Hills","CA","United States"
"Woodside","NY","United States"
"Woodstock","NY","United States"
"Woonsocket","RI","United States"
"Wooster","OH","United States"
"Worcester","MA","United States"
"Wrightstown","NJ","United States"
"Wrightsville Beach","NC","United States"
"Wyandotte","MI","United States"
"Wyanotte","MI","United States"
"Yachats","OR","United States"
"Yakima","WA","United States"
"Yankton","SD","United States"
"Ybor City","FL","United States"
"Yellow Springs","OH","United States"
"Yonkers","NY","United States"
"York","PA","United States"
"Yorktown","NY","United States"
"Yorkville","NY","United States"
"Yosemite","CA","United States"
"Youngstown","OH","United States"
"Ypsilanti","MI","United States"
"Yreka","CA","United States"
"Yuba City","CA","United States"
"Yuma","AZ","United States"
